video_id,title,description,publishedAt,tags,categoryId,duration,viewCount,likeCount,commentCount,Duration_in_sec,SubjectList,Subject,Exam_type,Exam,Typelist,Type,classlist,class,,Batch,Teacherlist,Teachers
f8_iA_WMHbQ,Complete Class 12th PHYSICS Paper Decoding by MR Sir  - NEET 2025 || PhysicsWallah,"00:00 - Introduction
04:20 - Topics to be covered
08:27 - Modern physics 
52:16 - Atoms
1:11:12 - Nuclei
1:46:24 - Semiconductors
2:33:47 - Electric Charges And Fields
3:19:00 - Break
3:29:45 - Electric Potential And Capacitance
4:25:40 - Current Electricity
5:37:30 - Moving Charges And Magnetism
6:35:30 - Break
6:49:06 - Magnetism And Matter
7:09:25 - Electromagnetic Induction
7:46:28 - Alternating Current
8:20:55 - Electromagnetic Waves
8:40:40 - Ray Optics
10:03:42 - Wave Optics
10:43:40 - Thank you bachhon",2025-04-28T21:45:38Z,"neet,neet 2025,neet maharevsion,physicswallah,aayudh sir physics,neet phycis,physics neet oneshot,mr sir,mr sir physics,mahatandav,neet exam",27,PT10H46M6S,3728666,158819,9117,38760,Batch,Physics,,NEET,,Paper Decoding,,12th,,Others,,
dIMa925yLfY,Complete Class 11th PHYSICS in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,"For PDFs - https://physicswallah.onelink.me/ZAZB/57nekei0



00:00 - Introduction
01:18 - Vector
40:37 - Unit and measurements 
1:42:10 - Motion in a straight line
2:39:00 - Break
2:59:30 - Motion in a plane
3:45:29 - Newton’s law of motion
4:47:20 - Work energy and power
5:37:10 - Center of mass and collision
6:10:00 - Break
6:24:10 - Rotational motion
7:07:43 - Gravitation
7:52:10 - Mechanical properties of solids
8:20:37 - Mechanical properties of fluids
9:15:06 - Thermal properties of matter
10:05:50 - Break
10:13:05 - Kinetic theory of gases
10:35:22 - Thermodynamics
10:48:58 - Oscillation
11:04:12 - Waves
11:39:55 - Homework
11:40:48 - Thank you bachhon",2025-04-28T03:27:08Z,"neet,neet 2025,neet maharevsion,physicswallah,aayudh sir physics,neet phycis,physics neet oneshot,mr sir,mr sir physics,mahatandav,neet exam",27,PT11H43M56S,696463,16295,767,42236,Series,Physics,,NEET,,1 Shot,,11th,,Others,,
tBPMI4x9w3Q,Complete Class 11th PHYSICS in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,For PDFs - https://physicswallah.onelink.me/ZAZB/57nekei0,2025-04-27T13:22:25Z,"neet,neet 2025,neet maharevsion,physicswallah,aayudh sir physics,neet phycis,physics neet oneshot,mr sir,mr sir physics,mahatandav,neet exam",27,PT1H36M5S,298823,8207,185,2160,,Physics,,NEET,,1 Shot,,11th,,Others,,
lCkKhRKDu8M,Complete INORGANIC CHEMISTRY in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,"For PDFs - https://physicswallah.onelink.me/ZAZB/57nekei0


00:00 - Introduction 
03:45 - Periodic table
43:05 - Chemical bonding and Molecular structure 
2:35:35 - Coordination compounds
3:31:53 - d and f block
4:04:51 - p block
4:29:30 - Salt analysis 
4:54:20 - Thank You Bacchon",2025-04-26T16:56:28Z,"neet,neet 2025,neet maharevsion,physicswallah,aayudh sir physics,neet phycis,physics neet oneshot,mr sir,mr sir physics,mahatandav,neet exam",27,PT4H56M45S,946703,34575,1605,3405,,Organic chemistry ,,NEET,,1 Shot,,Others,,Others,,
3znerIFcpPY,Complete Class 12th PHYSICS in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,"For PDFs - https://physicswallah.onelink.me/ZAZB/57nekei0



00:00 - Introduction
03:55 - Topics to be covered
05:30 - Modern physics
07:00 - Dual nature
56:35 - Atoms
2:03:00 - Break 
2:23:00 - Nuclei
2:54:55 - Semiconductor
3:57:30 - Break
4:21:50 - Ray optics
5:50:00 - Wave optics
6:31:30 -  Break
6:52:44 - Current electricity
7:21:47 - Electrostatics 1
7:59:37 - Electrostatics 2
8:20:10 - Break
8:34:16 - Magnetism 1
9:03:16 - Magnetism 2
9:13:34 - EMI
9:30:40 - Alternating current
9:47:38 - EM waves
9:53:49 - Thank you bachhon",2025-04-25T21:03:12Z,"neet,neet 2025,neet maharevsion,physicswallah,aayudh sir physics,neet phycis,physics neet oneshot,mr sir,mr sir physics,mahatandav,neet exam",27,PT9H55M50S,1269409,32446,1670,3350,,Physics,,NEET,,1 Shot,,12th,,Others,,
mL3ODKe3tC8,1st Class of Physics by MR Sir in Lakshya NEET Batch 🔥 || Class 12th NEET 2026,📚Lakshya NEET 2026 - https://physicswallah.onelink.me/ZAZB/jhmmtnp1,2025-04-09T15:04:40Z,,27,PT1H33M46S,694941,24529,1044,2026,,Batch,,NEET,,Others,,12th,,Others,,
jHiQ4qnrmX0,1st Class of Zoology by Samapti Mam in Lakshya NEET Batch 🔥 || Class 12th NEET 2026,📚Lakshya NEET 2026 - https://physicswallah.onelink.me/ZAZB/jhmmtnp1,2025-04-08T12:32:33Z,,27,PT1H54M20S,824567,30475,1696,3260,,Batch,,NEET,,Others,,12th,,Others,,
ps5L930FaRE,1st Class of Physical Chemistry by Sudhanshu Sir in Lakshya NEET Batch 🔥 || Class 12th NEET 2026,📚Lakshya NEET 2026 - https://physicswallah.onelink.me/ZAZB/jhmmtnp1,2025-04-07T14:25:08Z,,27,PT1H45M28S,410925,20370,662,2728,,Batch,,NEET,,Others,,12th,,Others,,
WU7ndZuq9Fs,1st Class of Botany by Rupesh Sir in Lakshya NEET Batch 🔥 || Class 12th NEET 2026,📚Lakshya NEET 2026 - https://physicswallah.onelink.me/ZAZB/jhmmtnp1,2025-04-07T12:30:24Z,,27,PT1H51M41S,491876,27990,2095,3101,,Batch,,NEET,,Others,,12th,,Others,,
mUNS4Fm0SAk,NEW Session NEW Beginning - Pathshala Batches,"Get Upto 90% SCHOLARSHIP in Pathshala with PW SAT 2025
Registration Free :
https://physicswallah.onelink.me/ZAZB/5clyh45u

Know More About PW Vidyapeeth Pathshala Center
https://physicswallah.onelink.me/ZAZB/xfipplrn",2025-04-04T15:09:11Z,,27,PT1H19M31S,219861,10003,285,1171,,Batch,,Others,,Others,,Others,,Others,,
gApF05Kk1FE,Biggest LAUNCH of Class 12 JEE/NEET🙏 Lakshya Batch,"Hello Bachoo apke liye..... On demand
The Most powerful batch
📌Lakshya JEE 2026 - https://physicswallah.onelink.me/ZAZB/shm6qhkh 
📚Lakshya NEET 2026 - https://physicswallah.onelink.me/ZAZB/jhmmtnp1

00:00 : Introduction
03:03 : Lakshya JEE/NEET Faculty Reveal       
26:08 : Lakshya JEE/NEET 2026 Batch Reveal             
28:14 : Free Batch Reveal     
36:54 : Boards Ke Sath JEE/NEET Manage Nahi Hota?   
43:59 : Subject Ka Balance Nahi Hota?
50:44 : Test Me Score Nahi Aa Raha 
01:03:22 : Batch Details 
01:24:51 : Special Offering 
01:29:46 : Special Surprise 
01:32:14 : How To Buy Batch
01:35:55 : Thank You!",2025-03-26T16:44:19Z,,27,PT1H40M10S,617824,24347,1245,2410,,Batch,,NEET,,Others,,Others,,Others,,
znB_LwT9W44,"All About PW VIDYAPEETH (2025-26) || Teachers, Batches, Fees || Complete Detail","Hello Bachoo.. Is Vishwas diwas par aao Vidyapeeth ko bhi visit karte hai..
Flat 30% off ,Register Now 999/- 
For Vidyapeeth Admission call 07314850130
PWSAT registration  https://physicswallah.onelink.me/ZAZB/yxrbdmof 
PW Vidyapeeth and Pathshala Register Now  https://physicswallah.onelink.me/ZAZB/7aeyj0xz

Batches starting from 24th March 
All Vidyapeeth & Pathshala centers list: https://docs.google.com/spreadsheets/d/17aq7Orf7qjGebOrrgGSVxLLIiAs6eyAwzxGUaVbRtok/edit?gid=0#gid=0",2025-03-15T13:34:16Z,,27,PT57M11S,644193,21971,792,3431,,Batch,,Others,,Others,,Others,,Others,,
i2_PfFDhjWI,,,,,,,,,,,,Others,,Others,,Others,,Others,,Others,,
57jOhz1ZqvA,This will NEVER happen Again in PW !!,"Hello bachoo ..Vishwas Diwas par apke liye…Holi ke sabse todh offer. Valid till 16th March 2025!
500/- Rs Off on all JEE/NEET Batches
1000/- Rs Off on 9th &10th Batches
1100/- Rs Off on 11th &12th(Boards) all Stream Batches

Flat 30% off ,Book your seat at 999/-
For Vidyapeeth Admission call 07314850130 
PWSAT registration  https://physicswallah.onelink.me/ZAZB/yxrbdmof 
PW Vidyapeeth and Pathshala Register Now  https://physicswallah.onelink.me/ZAZB/7aeyj0xz
Registration open ( 10th to 25th march)
All Vidyapeeth & Pathshala centers list: https://docs.google.com/spreadsheets/d/17aq7Orf7qjGebOrrgGSVxLLIiAs6eyAwzxGUaVbRtok/edit?gid=0#gid=0

All JEE,NEET and 9 to 12th Batches.. offers Valid till 16th March 2025! 🔥🔥
Class 12th batches
📚Lakshya NEET (Class 12th+NEET) : https://physicswallah.onelink.me/ZAZB/jhmmtnp1
📚Lakshya JEE (Class 12th+JEE) : https://physicswallah.onelink.me/ZAZB/shm6qhkh
📚Lakshya NEET Hindi (Class 12th Hindi+NEET) : https://physicswallah.onelink.me/ZAZB/h3vhx0pf
📚Lakshya JEE Hindi (Class 12th Hindi+JEE) : https://physicswallah.onelink.me/ZAZB/xmj2v4xt
📚PARISHRAM 2026 (Class12th Science): https://physicswallah.onelink.me/ZAZB/eecqhl9p
📚PARISHRAM 2026 Class 12 Commerce https://physicswallah.onelink.me/ZAZB/5sq7bpdf   
📚Parishram Humanities 2026: https://physicswallah.onelink.me/ZAZB/h0bkw1eh

Class 11th batches
📚Arjuna NEET (Class 11th + NEET) : https://physicswallah.onelink.me/ZAZB/glkg7lw2
📚Arjuna JEE (Class 11th+JEE) : https://physicswallah.onelink.me/ZAZB/uwt02qfx
📚Arjuna NEET Hindi (Class 11th Hindi + NEET) : https://physicswallah.onelink.me/ZAZB/ruhyct7q
📚Arjuna JEE Hindi (Class 11th Hindi + JEE) : https://physicswallah.onelink.me/ZAZB/qs4saq84
📚UDAY 2026 (Class 11th): https://physicswallah.onelink.me/ZAZB/wbt7d8b1
📚UDAY 2026 Class 11th Commerce https://physicswallah.onelink.me/ZAZB/1va0b42w 
📚 Uday Humanities 2026: https://physicswallah.onelink.me/ZAZB/srg367v0

Droppers batches
📚Yakeen NEET (Dropper NEET) : https://physicswallah.onelink.me/ZAZB/7fhv50zz
📚Yakeen NEET Hindi (Dropper NEET Hindi) : https://physicswallah.onelink.me/ZAZB/1asdxqxd 
📚Prayas JEE (Dropper JEE) : https://physicswallah.onelink.me/ZAZB/kiv6atg1
📚Prayas JEE Hindi (Dropper JEE Hindi) : https://physicswallah.onelink.me/ZAZB/d9i6afas 

Foundation
📚Udaan (Class 10th CBSE) : https://physicswallah.onelink.me/ZAZB/xsrovpd6
📚Udaan Hindi (Class 10th Hindi) : https://physicswallah.onelink.me/ZAZB/33kdvje7
📚NEEV (Class 9th CBSE) : https://physicswallah.onelink.me/ZAZB/aj6q3wy9
📚NEEV (Class 9th Hindi) : https://physicswallah.onelink.me/ZAZB/6m2c7wa8
📚Umang (Class 8th CBSE) : https://physicswallah.onelink.me/ZAZB/mjvz2njs
📚Victory (Class 10th ICSE) : https://physicswallah.onelink.me/ZAZB/k87smplz
📚Radiant (Class 9th ICSE) : https://physicswallah.onelink.me/ZAZB/d87tpsqn
📚Junnon (Class 7th) : https://physicswallah.onelink.me/ZAZB/9kzpj9e9
📚Champs (Class 6th) : https://physicswallah.onelink.me/ZAZB/f7hi7gmx
📚Riser (Class 8th ICSE) : https://physicswallah.onelink.me/ZAZB/grgyjhae 




#physicswallah  #pw  #pwians #jee #neet",2025-03-13T13:49:04Z,,27,PT10M17S,981040,54257,3625,617,,Others,,Others,,Others,,Others,,Others,,
DVLcbjm1Yx8,,,,,,,,,,,,Others,,Others,,Others,,Others,,Others,,
